HGNC,Gene,Disease,MONDO,GCEP,CDWG
HGNC:24537,CHMP2.5,frontotemporal dementia and/or amyotrophic lateral sclerosis 7,MONDO:0010936,Amyotrophic Lateral Sclerosis Spectrum Disorders,Neurological Disorders
HGNC:24537,DKFZP564O123,frontotemporal dementia and/or amyotrophic lateral sclerosis 7,MONDO:0010936,Amyotrophic Lateral Sclerosis Spectrum Disorders,Neurological Disorders
HGNC:24537,VPS2B,frontotemporal dementia and/or amyotrophic lateral sclerosis 7,MONDO:0010936,Amyotrophic Lateral Sclerosis Spectrum Disorders,Neurological Disorders
HGNC:1943,CHN1,Duane retraction syndrome 2,MONDO:0011444,Brain Malformations,Neurodevelopmental Disorders
HGNC:1943,ARHGAP2,Duane retraction syndrome 2,MONDO:0011444,Brain Malformations,Neurodevelopmental Disorders
HGNC:1943,CHN,Duane retraction syndrome 2,MONDO:0011444,Brain Malformations,Neurodevelopmental Disorders
HGNC:1943,DURS2,Duane retraction syndrome 2,MONDO:0011444,Brain Malformations,Neurodevelopmental Disorders
HGNC:1943,N-CHIMERIN,Duane retraction syndrome 2,MONDO:0011444,Brain Malformations,Neurodevelopmental Disorders
HGNC:1943,RHOGAP2,Duane retraction syndrome 2,MONDO:0011444,Brain Malformations,Neurodevelopmental Disorders
HGNC:1949,CHRD,congenital heart disease,MONDO:0005453,Congenital Heart Disease,Cardiovascular
HGNC:1949,,congenital heart disease,MONDO:0005453,Congenital Heart Disease,Cardiovascular
HGNC:1956,CHRNA2,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1956,,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1956,CHRNA2,benign familial infantile epilepsy,MONDO:0017615,Epilepsy,Neurodevelopmental Disorders
HGNC:1956,,benign familial infantile epilepsy,MONDO:0017615,Epilepsy,Neurodevelopmental Disorders
HGNC:1958,CHRNA4,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1958,BFNC,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1958,EBN,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1958,EBN1,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1960,CHRNA7,epilepsy,MONDO:0005027,Epilepsy,Neurodevelopmental Disorders
HGNC:1960,,epilepsy,MONDO:0005027,Epilepsy,Neurodevelopmental Disorders
HGNC:1961,CHRNB1,congenital myasthenic syndrome 2C,MONDO:0014582,Congenital Myopathies,Neurological Disorders
HGNC:1961,CHRNB,congenital myasthenic syndrome 2C,MONDO:0014582,Congenital Myopathies,Neurological Disorders
HGNC:1961,CHRNB1,congenital myasthenic syndrome 2A,MONDO:0014581,Congenital Myopathies,Neurological Disorders
HGNC:1961,CHRNB,congenital myasthenic syndrome 2A,MONDO:0014581,Congenital Myopathies,Neurological Disorders
HGNC:1962,CHRNB2,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1962,,sleep-related hypermotor epilepsy,MONDO:0000030,Epilepsy,Neurodevelopmental Disorders
HGNC:1967,CHRNG,CHRNG-associated hypo-akinesia disorder of prenatal onset,MONDO:0100158,Prenatal,Other
HGNC:1967,ACHRG,CHRNG-associated hypo-akinesia disorder of prenatal onset,MONDO:0100158,Prenatal,Other
HGNC:1971,CHST3,spondyloepiphyseal dysplasia with congenital joint dislocations,MONDO:0007738,Skeletal Disorders,Skeletal Disorders
HGNC:1971,C6ST,spondyloepiphyseal dysplasia with congenital joint dislocations,MONDO:0007738,Skeletal Disorders,Skeletal Disorders
HGNC:1971,C6ST1,spondyloepiphyseal dysplasia with congenital joint dislocations,MONDO:0007738,Skeletal Disorders,Skeletal Disorders
HGNC:1974,CHUK,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:1974,IKBKA,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:1974,IKK-ALPHA,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:1974,IKK1,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:1974,IKKA,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:1974,NFKBIKA,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:1974,TCF16,Bartsocas-Papas syndrome 2,MONDO:0859154,SCID-CID,Immunology
HGNC:24579,CIB2,Usher syndrome type 1,MONDO:0010168,Hearing Loss,Hearing Loss
HGNC:24579,DFNB48,Usher syndrome type 1,MONDO:0010168,Hearing Loss,Hearing Loss
HGNC:24579,KIP2,Usher syndrome type 1,MONDO:0010168,Hearing Loss,Hearing Loss
HGNC:24579,USH1J,Usher syndrome type 1,MONDO:0010168,Hearing Loss,Hearing Loss
HGNC:24579,CIB2,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:24579,DFNB48,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:24579,KIP2,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:24579,USH1J,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:14214,CIC,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:14214,KIAA0306,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7067,CIITA,MHC class II deficiency,MONDO:0008855,SCID-CID,Immunology
HGNC:7067,C2TA,MHC class II deficiency,MONDO:0008855,SCID-CID,Immunology
HGNC:7067,MHC2TA,MHC class II deficiency,MONDO:0008855,SCID-CID,Immunology
HGNC:7067,NLRA,MHC class II deficiency,MONDO:0008855,SCID-CID,Immunology
HGNC:24212,CISD2,Wolfram syndrome,MONDO:0018105,Hearing Loss,Hearing Loss
HGNC:24212,ERIS,Wolfram syndrome,MONDO:0018105,Hearing Loss,Hearing Loss
HGNC:24212,MINER1,Wolfram syndrome,MONDO:0018105,Hearing Loss,Hearing Loss
HGNC:24212,NAF-1,Wolfram syndrome,MONDO:0018105,Hearing Loss,Hearing Loss
HGNC:24212,WFS2,Wolfram syndrome,MONDO:0018105,Hearing Loss,Hearing Loss
HGNC:24212,ZCD2,Wolfram syndrome,MONDO:0018105,Hearing Loss,Hearing Loss
HGNC:1987,CITED2,congenital heart disease,MONDO:0005453,Congenital Heart Disease,Cardiovascular
HGNC:1987,MRG1,congenital heart disease,MONDO:0005453,Congenital Heart Disease,Cardiovascular
HGNC:2020,CLCN2,epilepsy,MONDO:0005027,Epilepsy,Neurodevelopmental Disorders
HGNC:2020,CLC-2,epilepsy,MONDO:0005027,Epilepsy,Neurodevelopmental Disorders
HGNC:2020,CLC2,epilepsy,MONDO:0005027,Epilepsy,Neurodevelopmental Disorders
HGNC:2020,EJM6,epilepsy,MONDO:0005027,Epilepsy,Neurodevelopmental Disorders
HGNC:2022,CLCN4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2022,CLC-4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2022,CLC4,non-syndromic X-linked intellectual disability,MONDO:0019181,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2023,CLCN5,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,CLC-5,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,CLC5,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,DENTS,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,HCIC-K2,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,HCLC-K2,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,NPHL1,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,NPHL2,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,XLRH,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2023,XRN,Dent disease type 1,MONDO:0010225,Tubulopathy,Kidney Disease
HGNC:2024,CLCN6,"neurodegeneration, childhood-onset, with hypotonia, respiratory insufficiency, and brain imaging abnormalities",MONDO:0030947,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2024,CLC-6,"neurodegeneration, childhood-onset, with hypotonia, respiratory insufficiency, and brain imaging abnormalities",MONDO:0030947,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2024,KIAA0046,"neurodegeneration, childhood-onset, with hypotonia, respiratory insufficiency, and brain imaging abnormalities",MONDO:0030947,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2025,CLCN7,"hypopigmentation, organomegaly, and delayed myelination and development",MONDO:0032805,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2025,CLC-7,"hypopigmentation, organomegaly, and delayed myelination and development",MONDO:0032805,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2025,CLC7,"hypopigmentation, organomegaly, and delayed myelination and development",MONDO:0032805,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2025,OPTA2,"hypopigmentation, organomegaly, and delayed myelination and development",MONDO:0032805,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2025,PPP1R63,"hypopigmentation, organomegaly, and delayed myelination and development",MONDO:0032805,Lysosomal Diseases,Inborn Errors of Metabolism
HGNC:2025,CLCN7,autosomal dominant osteopetrosis 2,MONDO:0008156,Skeletal Disorders,Skeletal Disorders
HGNC:2025,CLC-7,autosomal dominant osteopetrosis 2,MONDO:0008156,Skeletal Disorders,Skeletal Disorders
HGNC:2025,CLC7,autosomal dominant osteopetrosis 2,MONDO:0008156,Skeletal Disorders,Skeletal Disorders
HGNC:2025,OPTA2,autosomal dominant osteopetrosis 2,MONDO:0008156,Skeletal Disorders,Skeletal Disorders
HGNC:2025,PPP1R63,autosomal dominant osteopetrosis 2,MONDO:0008156,Skeletal Disorders,Skeletal Disorders
HGNC:2025,CLCN7,autosomal recessive osteopetrosis 4,MONDO:0012676,Skeletal Disorders,Skeletal Disorders
HGNC:2025,CLC-7,autosomal recessive osteopetrosis 4,MONDO:0012676,Skeletal Disorders,Skeletal Disorders
HGNC:2025,CLC7,autosomal recessive osteopetrosis 4,MONDO:0012676,Skeletal Disorders,Skeletal Disorders
HGNC:2025,OPTA2,autosomal recessive osteopetrosis 4,MONDO:0012676,Skeletal Disorders,Skeletal Disorders
HGNC:2025,PPP1R63,autosomal recessive osteopetrosis 4,MONDO:0012676,Skeletal Disorders,Skeletal Disorders
HGNC:2035,CLDN14,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:2035,DFNB29,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:2037,CLDN16,renal hypomagnesemia 3,MONDO:0009550,Tubulopathy,Kidney Disease
HGNC:2037,HOMG3,renal hypomagnesemia 3,MONDO:0009550,Tubulopathy,Kidney Disease
HGNC:2037,PCLN1,renal hypomagnesemia 3,MONDO:0009550,Tubulopathy,Kidney Disease
HGNC:2063,CLIC2,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2063,CLCNL2,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2063,XAP121,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2074,CLN3,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2074,BTN1,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2074,BTS,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2074,JNCL,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2074,SLC29B1,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2076,CLN5,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2076,,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2077,CLN6,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2077,FLJ20561,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2077,HST18960,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2077,NCLF,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2079,CLN8,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2079,C8ORF61,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2079,EPMR,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2079,FLJ39417,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:2079,TLCD6,neuronal ceroid lipofuscinosis,MONDO:0016295,Epilepsy,Neurodevelopmental Disorders
HGNC:30664,CLPB,Leigh syndrome,MONDO:0009723,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:30664,ANKCLP,Leigh syndrome,MONDO:0009723,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:30664,FLJ13152,Leigh syndrome,MONDO:0009723,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:30664,SKD3,Leigh syndrome,MONDO:0009723,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:2084,CLPP,Perrault syndrome 3,MONDO:0013588,Hearing Loss,Hearing Loss
HGNC:2084,,Perrault syndrome 3,MONDO:0013588,Hearing Loss,Hearing Loss
HGNC:12605,CLRN1,Usher syndrome type 3,MONDO:0016485,Hearing Loss,Hearing Loss
HGNC:12605,RP61,Usher syndrome type 3,MONDO:0016485,Hearing Loss,Hearing Loss
HGNC:12605,USH3,Usher syndrome type 3,MONDO:0016485,Hearing Loss,Hearing Loss
HGNC:12605,USH3A,Usher syndrome type 3,MONDO:0016485,Hearing Loss,Hearing Loss
HGNC:33939,CLRN2,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:33939,DFNB117,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:25678,CLXN,"ciliary dyskinesia, primary, 53",MONDO:0957991,Motile Ciliopathy,Pulmonary
HGNC:25678,EFCAB1,"ciliary dyskinesia, primary, 53",MONDO:0957991,Motile Ciliopathy,Pulmonary
HGNC:25678,FLJ11767,"ciliary dyskinesia, primary, 53",MONDO:0957991,Motile Ciliopathy,Pulmonary
HGNC:25678,ODAD5,"ciliary dyskinesia, primary, 53",MONDO:0957991,Motile Ciliopathy,Pulmonary
HGNC:2148,CNGA1,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2148,CNCG,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2148,CNCG1,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2148,CNG1,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2148,RCNC1,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2148,RCNCA,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2148,RP49,CNGA1-related retinopathy,MONDO:0800405,Retina,Ocular
HGNC:2150,CNGA3,CNGA3-related retinopathy,MONDO:0800102,Retina,Ocular
HGNC:2150,ACHM2,CNGA3-related retinopathy,MONDO:0800102,Retina,Ocular
HGNC:2150,CCNC1,CNGA3-related retinopathy,MONDO:0800102,Retina,Ocular
HGNC:2150,CCNCA,CNGA3-related retinopathy,MONDO:0800102,Retina,Ocular
HGNC:2150,CNCG3,CNGA3-related retinopathy,MONDO:0800102,Retina,Ocular
HGNC:2150,CNG3,CNGA3-related retinopathy,MONDO:0800102,Retina,Ocular
HGNC:2151,CNGB1,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,CNCG2,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,CNCG3L,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,CNGB1B,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,GAR1,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,GARP,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,RCNC2,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,RCNCB,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2151,RP45,CNGB1-related retinopathy,MONDO:0800403,Retina,Ocular
HGNC:2153,CNGB3,CNGB3-related retinopathy,MONDO:0100446,Retina,Ocular
HGNC:2153,ACHM1,CNGB3-related retinopathy,MONDO:0100446,Retina,Ocular
HGNC:2153,ACHM3,CNGB3-related retinopathy,MONDO:0100446,Retina,Ocular
HGNC:2153,RMCH,CNGB3-related retinopathy,MONDO:0100446,Retina,Ocular
HGNC:19701,CNKSR2,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:19701,CNK2,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:19701,KIAA0902,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:19701,KSR2,X-linked complex neurodevelopmental disorder,MONDO:0100148,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:103,CNNM2,"hypomagnesemia, seizures, and intellectual disability 1",MONDO:0020787,Tubulopathy,Kidney Disease
HGNC:103,ACDP2,"hypomagnesemia, seizures, and intellectual disability 1",MONDO:0020787,Tubulopathy,Kidney Disease
HGNC:103,SLC70A2,"hypomagnesemia, seizures, and intellectual disability 1",MONDO:0020787,Tubulopathy,Kidney Disease
HGNC:105,CNNM4,Jalili syndrome,MONDO:0009007,Retina,Ocular
HGNC:105,ACDP4,Jalili syndrome,MONDO:0009007,Retina,Ocular
HGNC:105,KIAA1592,Jalili syndrome,MONDO:0009007,Retina,Ocular
HGNC:105,SLC70A4,Jalili syndrome,MONDO:0009007,Retina,Ocular
HGNC:7877,CNOT1,holoprosencephaly 12 with or without pancreatic agenesis,MONDO:0032787,Brain Malformations,Neurodevelopmental Disorders
HGNC:7877,AD-005,holoprosencephaly 12 with or without pancreatic agenesis,MONDO:0032787,Brain Malformations,Neurodevelopmental Disorders
HGNC:7877,CDC39,holoprosencephaly 12 with or without pancreatic agenesis,MONDO:0032787,Brain Malformations,Neurodevelopmental Disorders
HGNC:7877,KIAA1007,holoprosencephaly 12 with or without pancreatic agenesis,MONDO:0032787,Brain Malformations,Neurodevelopmental Disorders
HGNC:7877,NOT1,holoprosencephaly 12 with or without pancreatic agenesis,MONDO:0032787,Brain Malformations,Neurodevelopmental Disorders
HGNC:7877,NOT1H,holoprosencephaly 12 with or without pancreatic agenesis,MONDO:0032787,Brain Malformations,Neurodevelopmental Disorders
HGNC:7877,CNOT1,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7877,AD-005,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7877,CDC39,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7877,KIAA1007,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7877,NOT1,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7877,NOT1H,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7879,CNOT3,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7879,KIAA0691,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7879,LENG2,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7879,NOT3,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:7879,NOT3H,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:10445,CNOT9,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:10445,CAF40,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:10445,CT129,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:10445,RCD1,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:10445,RCD1+,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:10445,RQCD1,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2172,CNTN2,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:2172,AXT,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:2172,TAG-1,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:2172,TAX,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:2172,TAX1,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:2174,CNTN4,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2174,BIG-2,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2176,CNTN6,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:2176,NB-3,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:13830,CNTNAP2,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:13830,CASPR2,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:13830,KIAA0868,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:13830,NRXN4,complex neurodevelopmental disorder,MONDO:0100038,Epilepsy,Neurodevelopmental Disorders
HGNC:13830,CNTNAP2,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:13830,CASPR2,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:13830,KIAA0868,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:13830,NRXN4,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:18748,CNTNAP5,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:18748,CASPR5,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:18748,FLJ31966,complex neurodevelopmental disorder,MONDO:0100038,Intellectual Disability and Autism,Neurodevelopmental Disorders
HGNC:24990,COA3,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:24990,CCDC56,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:24990,COX25,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:24990,HCOA3,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:24990,HSPC009,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:24990,MITRAC12,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:25716,COA7,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:25716,C1ORF163,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:25716,FLJ12439,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:25716,RESA1,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:25716,SELRC1,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:20492,COA8,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:20492,APOP-1,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:20492,APOPT1,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:20492,C14ORF153,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:20492,MGC2562,mitochondrial disease,MONDO:0044970,Mitochondrial Diseases,Inborn Errors of Metabolism
HGNC:2180,COCH,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:2180,COCH-5B2,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:2180,DFNA31,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:2180,DFNA9,nonsyndromic genetic hearing loss,MONDO:0019497,Hearing Loss,Hearing Loss
HGNC:6545,COG1,COG1-congenital disorder of glycosylation,MONDO:0012637,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:6545,KIAA1381,COG1-congenital disorder of glycosylation,MONDO:0012637,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:6545,LDLB,COG1-congenital disorder of glycosylation,MONDO:0012637,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:6546,COG2,"congenital disorder of glycosylation, type IIq",MONDO:0054559,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:6546,LDLC,"congenital disorder of glycosylation, type IIq",MONDO:0054559,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:18619,COG3,congenital disorder of glycosylation,MONDO:0015286,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
HGNC:18619,SEC34,congenital disorder of glycosylation,MONDO:0015286,Congenital Disorders of Glycosylation,Inborn Errors of Metabolism
