hpo_term,hpo_parent
HP:0100277,HP:0000383
HP:0000383,HP:0004426
HP:0001711,HP:0001713
HP:0001713,HP:0001627
HP:0011103,HP:0001711
HP:0001714,HP:0001713
HP:0011338,HP:0000163
HP:0011116,HP:0011112
HP:0030355,HP:0011116
HP:0011443,HP:0011442
HP:0010944,HP:0012210
HP:0010946,HP:0010944
HP:0010935,HP:0000079
HP:0000077,HP:0010935
HP:0012210,HP:0000077
HP:0001945,HP:0004370
HP:0001760,HP:0002814
HP:0001159,HP:0011297
HP:0001770,HP:0001780
HP:0001770,HP:0001159
HP:0001780,HP:0001760
HP:0001780,HP:0011297
HP:0002814,HP:0040064
HP:0025615,HP:0032251
HP:0003212,HP:0410241
HP:0003212,HP:0010702
HP:0000264,HP:0000929
HP:0410243,HP:0010701
HP:0030151,HP:0012440
HP:0030151,HP:0012649
HP:0001080,HP:0004297
HP:0012440,HP:0001080
HP:0200005,HP:0008050
HP:0020064,HP:0032309
HP:0020064,HP:0001879
HP:0001879,HP:0001911
HP:4000054,HP:0000988
HP:0000988,HP:0011123
HP:0031983,HP:0012252
HP:0009601,HP:0006265
HP:0009601,HP:0001172
HP:0001172,HP:0001167
HP:0031416,HP:0002795
HP:0000422,HP:0005105
HP:0000505,HP:0000504
HP:0045073,HP:0012649
HP:0002585,HP:0002012
HP:0012115,HP:0012649
HP:0012115,HP:0410042
HP:0200123,HP:0012115
HP:0005374,HP:0002721
HP:0002093,HP:0002795
HP:0004887,HP:0002093
HP:0011061,HP:0000164
HP:0002298,HP:0011362
HP:0008678,HP:0012210
HP:0025461,HP:0025354
HP:0008070,HP:0011362
HP:0000372,HP:0000356
HP:0002586,HP:0045073
HP:0002586,HP:0002585
HP:5200046,HP:0000708
HP:5200058,HP:5200046
HP:0000433,HP:0005105
HP:0002027,HP:0011458
HP:0002027,HP:0012531
HP:0032148,HP:0012531
HP:0025021,HP:0001939
HP:0011298,HP:0011356
HP:0001211,HP:0001167
HP:0011356,HP:0011121
HP:0002589,HP:0012718
HP:0032135,HP:0004315
HP:0004315,HP:0004313
HP:0004315,HP:0410242
HP:0031392,HP:0025540
HP:0002282,HP:0002269
HP:0002269,HP:0002011
HP:0030379,HP:0025539
HP:0001270,HP:0012758
HP:0025018,HP:0030163
HP:0001903,HP:0001877
HP:0001878,HP:0011895
HP:0011895,HP:0001903
HP:0012640,HP:0012638
HP:0008047,HP:0012372
HP:0008047,HP:0002597
HP:0000502,HP:0030669
HP:0025337,HP:0008047
HP:0011948,HP:0002205
HP:0003474,HP:0012638
HP:0033747,HP:0003474
HP:0002679,HP:0000929
HP:0002681,HP:0002679
HP:0031365,HP:0000979
HP:0001933,HP:0001892
HP:0001933,HP:0011276
HP:0000979,HP:0001933
HP:0011337,HP:0000163
HP:0100872,HP:0001760
HP:0100872,HP:0011356
HP:0032892,HP:0001250
HP:0002837,HP:0025426
HP:0002837,HP:0012387
HP:0002837,HP:0002783
HP:0011277,HP:0000079
HP:0012211,HP:0011277
HP:0012211,HP:0000077
HP:0002031,HP:0012718
HP:0011100,HP:0002242
HP:0011100,HP:0002589
HP:0001954,HP:0001945
HP:0200036,HP:0011355
HP:0000388,HP:0008609
HP:0000388,HP:0012649
HP:0006753,HP:0002577
HP:0006753,HP:0007378
HP:0002577,HP:0012718
HP:0034930,HP:0011793
HP:0034930,HP:0025031
HP:0007378,HP:0011024
HP:0007378,HP:0034930
HP:0100261,HP:0011842
HP:0011729,HP:0034430
HP:0030044,HP:0001371
HP:0034392,HP:0003549
HP:0034392,HP:0011729
HP:0034392,HP:0011805
HP:0034392,HP:0100261
HP:0001371,HP:0034392
HP:0034430,HP:0011843
HP:0004312,HP:0001877
HP:0003110,HP:0001939
HP:0003110,HP:0011277
HP:0012591,HP:0003110
HP:0011280,HP:0012591
HP:0045056,HP:0010876
HP:0000750,HP:0002463
HP:0000750,HP:0012758
HP:0000750,HP:0002167
HP:5201015,HP:0000234
HP:0033137,HP:0002088
HP:0034243,HP:0034058
HP:0005948,HP:0032445
HP:0010959,HP:0034243
HP:0010959,HP:0005948
HP:0032445,HP:0002088
HP:0009127,HP:0040064
HP:0009127,HP:0011805
HP:0003690,HP:0001324
HP:0003690,HP:0009127
HP:0100811,HP:0002250
HP:0100811,HP:0005245
HP:0005245,HP:0002242
HP:0000591,HP:0012372
HP:0001249,HP:0011446
HP:0001249,HP:0012759
HP:0100699,HP:0003549
HP:0046508,HP:0003468
HP:0046508,HP:0003319
HP:0005905,HP:0010674
HP:0005905,HP:0046508
HP:0002808,HP:0010674
HP:0012480,HP:0100659
HP:0033723,HP:0012480
HP:0004936,HP:0001977
HP:0100659,HP:0012443
HP:0100659,HP:0025015
HP:0009145,HP:0100659
HP:0009145,HP:0011004
HP:0011004,HP:0033353
HP:0000035,HP:0000032
HP:0000028,HP:0000035
HP:0000682,HP:3000050
HP:0000682,HP:0011061
HP:0000685,HP:0011061
HP:3000050,HP:0000924
HP:3000050,HP:0003549
HP:0003043,HP:0011844
HP:0003043,HP:0000765
HP:0001217,HP:0011297
HP:0011968,HP:0011458
HP:0008872,HP:0011968
HP:0033454,HP:0011968
HP:0000202,HP:0000163
HP:0000202,HP:5201015
HP:0000961,HP:0001005
HP:0001273,HP:0002500
HP:0002788,HP:0001739
HP:0002788,HP:0002205
HP:0001697,HP:0001627
HP:0020104,HP:0032101
HP:0007663,HP:0000505
HP:0011772,HP:0000820
HP:0000233,HP:0000159
HP:0011339,HP:0000177
HP:0000168,HP:0011830
HP:0030313,HP:0003330
HP:0030313,HP:0011842
HP:0001637,HP:0001627
HP:0001638,HP:0001637
HP:0031399,HP:0025540
HP:0034345,HP:0000005
HP:0000005,HP:0000001
HP:0000549,HP:0000496
HP:0000496,HP:0012373
HP:0000821,HP:0002926
HP:0004097,HP:0009484
HP:0004097,HP:0001167
HP:0009484,HP:0005922
HP:0100678,HP:0007495
HP:0007495,HP:0011354
HP:0000606,HP:0000271
HP:0003808,HP:0011804
HP:0001876,HP:0012145
HP:0100827,HP:0040088
HP:0100827,HP:0001974
HP:0002955,HP:0004311
HP:0011077,HP:0000164
HP:0006479,HP:0011061
HP:0006486,HP:0006482
HP:0011070,HP:0006482
HP:0011070,HP:0011077
HP:0011071,HP:0011070
HP:0005656,HP:0001760
HP:0000968,HP:0011354
HP:0001707,HP:0001713
HP:0002120,HP:0002538
HP:0002120,HP:0002059
HP:0001631,HP:0005120
HP:0001631,HP:0011994
HP:0003202,HP:0030236
HP:0003202,HP:0011805
HP:0020177,HP:0410380
HP:0033993,HP:0032169
HP:0033993,HP:0002383
HP:0002383,HP:0011450
HP:5200241,HP:0000708
HP:0002818,HP:0040072
HP:0045008,HP:0002818
HP:0006487,HP:0000940
HP:0006488,HP:0002817
HP:0006488,HP:0006487
HP:0003956,HP:0006488
HP:0003956,HP:0040072
HP:0005930,HP:0011314
HP:0430048,HP:0010766
HP:0034221,HP:0002538
HP:0010766,HP:0000924
HP:0002514,HP:0430048
HP:0002514,HP:0002060
HP:0002514,HP:0034221
HP:0008661,HP:0000796
HP:0000796,HP:0000795
HP:0010438,HP:0001713
HP:0010438,HP:0001671
HP:0008771,HP:0031703
HP:0008772,HP:0000377
HP:0008772,HP:0008771
HP:0008551,HP:0008772
HP:0012547,HP:0000496
HP:0004298,HP:0025031
HP:0004299,HP:0010866
HP:0004299,HP:0100790
HP:0001551,HP:0004298
HP:0010866,HP:0004298
HP:0100790,HP:0003549
HP:0000123,HP:0012649
HP:0000123,HP:0012211
HP:0032183,HP:0032182
HP:0002017,HP:0011458
HP:0030829,HP:0002795
HP:0003045,HP:0034669
HP:0003336,HP:0011849
HP:0100491,HP:0002814
HP:0100491,HP:0001367
HP:0034669,HP:0002815
HP:0002815,HP:0100491
HP:0006536,HP:0002795
HP:0011876,HP:0011875
HP:0011877,HP:0011876
HP:0410294,HP:0032140
HP:0002763,HP:0011842
HP:0100593,HP:0002763
HP:0100593,HP:0010766
HP:3000022,HP:0000377
HP:3000022,HP:0002763
HP:0001297,HP:0100659
HP:0002637,HP:0033401
HP:0025722,HP:0002060
HP:0009473,HP:0100360
HP:0009473,HP:0009810
