id,name
HP:0025021,Abnormal erythrocyte sedimentation rate
HP:0011298,Prominent digit pad
HP:0001211,Abnormal fingertip morphology
HP:0011356,Regional abnormality of skin
HP:0002589,Gastrointestinal atresia
HP:0032135,Decreased circulating IgG subclass level
HP:0004315,Decreased circulating IgG level
HP:0031392,Abnormal proportion of CD4-positive T cells
HP:0002282,Gray matter heterotopia
HP:0002269,Abnormality of neuronal migration
HP:0030379,Abnormal proportion of transitional B cells
HP:0001270,Motor delay
HP:0025018,Abnormal capillary physiology
HP:0001903,Anemia
HP:0001878,Hemolytic anemia
HP:0011895,Anemia due to reduced life span of red cells
HP:0012640,Abnormality of intracranial pressure
HP:0008047,Abnormality of the vasculature of the eye
HP:0000502,Abnormal conjunctiva morphology
HP:0025337,Red eye
HP:0011948,Recurrent acute respiratory tract infection
HP:0003474,Somatic sensory dysfunction
HP:0033747,Abnormal exteroceptive sensation
HP:0002679,Abnormal sella turcica morphology
HP:0002681,Deformed sella turcica
HP:0031365,Macular purpura
HP:0001933,Subcutaneous hemorrhage
HP:0000979,Purpura
HP:0011337,Abnormality of mouth size
HP:0100872,Abnormality of the plantar skin of foot
HP:0032892,Infection-related seizure
HP:0002837,Recurrent bronchitis
HP:0011277,Abnormality of the urinary system physiology
HP:0012211,Abnormal renal physiology
HP:0002031,Abnormal esophagus morphology
HP:0011100,Intestinal atresia
HP:0001954,Recurrent fever
HP:0200036,Skin nodule
HP:0000388,Otitis media
HP:0006753,Neoplasm of the stomach
HP:0002577,Abnormal stomach morphology
HP:0034930,Digestive system neoplasm
HP:0007378,Neoplasm of the gastrointestinal tract
HP:0100261,Abnormal tendon morphology
HP:0011729,Abnormality of joint mobility
HP:0030044,Flexion contracture of digit
HP:0034392,Joint contracture
HP:0001371,Flexion contracture
HP:0034430,Abnormal joint physiology
HP:0004312,Abnormal reticulocyte morphology
HP:0003110,Abnormality of urine homeostasis
HP:0012591,Abnormal urinary electrolyte concentration
HP:0011280,Abnormality of urine calcium concentration
HP:0045056,Abnormal circulating alpha-fetoprotein concentration
HP:0000750,Delayed speech and language development
HP:5201015,Craniofacial cleft
HP:0033137,Abnormal pulmonary alveolar system morphology
HP:0034243,Abnormal fetal pulmonary morphology
HP:0005948,Multiple pulmonary cysts
HP:0010959,Congenital pulmonary airway malformation
HP:0032445,Pulmonary cyst
HP:0009127,Abnormality of the musculature of the limbs
HP:0003690,Limb muscle weakness
HP:0100811,Aplasia/Hypoplasia of the colon
HP:0005245,Intestinal hypoplasia
HP:0000591,Abnormal sclera morphology
HP:0001249,Intellectual disability
HP:0100699,Scarring
HP:0046508,Abnormal cervical spine morphology
HP:0005905,Abnormal cervical curvature
